Year,kms Driven,Fuel Type,Suspension,Price,Car Model
2013,41000,Petrol,Automatic,511000.00000000006,Honda Amaze VX
2015,69000,Petrol,Automatic,585000.0,Honda City i
2012,72452,Petrol,Manual,289000.0,Honda Brio S
2014,113136,Diesel,Manual,273000.0,Honda Amaze S
2015,44284,Petrol,Manual,360000.0,Honda Jazz 1.2
2008,81543,Petrol,Manual,231999.99999999997,Honda City 1.5
2014,81667,Petrol,Manual,450000.0,Honda Mobilio S
2018,62312,Diesel,Manual,550000.0,Honda Amaze S
2014,67683,Petrol,Manual,350000.0,Honda Mobilio V
2018,34025,Petrol,Manual,725000.0,Honda City i-VTEC
2015,74057,Petrol,Manual,689000.0,Honda City i
2010,133878,Petrol,Automatic,277000.0,Honda City 1.5
2018,27947,Petrol,Manual,750000.0,Honda City i-VTEC
2019,33500,Petrol,Automatic,1000000.0,Honda City i-VTEC
2014,100000,Diesel,Manual,540000.0,Honda City i
2016,50000,Petrol,Manual,400000.0,Honda Brio S
2018,25000,Petrol,Manual,745000.0,Honda WR-V i-VTEC
2019,23000,Petrol,Manual,850000.0,Honda BR-V i-VTEC
2015,64183,Petrol,Manual,356000.0,Honda Amaze S
2016,19434,Petrol,Manual,600000.0,Honda City i
2016,99548,Petrol,Automatic,690000.0,Honda City i
2015,77279,Diesel,Manual,350000.0,Honda Amaze S
2012,64000,Petrol,Manual,290000.0,Honda Brio V
2022,14879,Petrol,Manual,1275000.0,Honda City ZX
2017,94423,Petrol,Manual,315000.0,Honda Amaze E
2009,35958,Petrol,Manual,200000.0,Honda Jazz S
2013,82097,Petrol,Manual,213000.0,Honda Brio V
2017,38515,Petrol,Manual,710000.0,Honda City i
2009,83088,Petrol,Manual,196000.0,Honda City 1.5
2015,132349,Diesel,Manual,416000.0,Honda Jazz 1.5
2010,83013,Petrol,Manual,240000.0,Honda City 1.5
2010,102885,Petrol,Manual,177000.0,Honda Jazz Basic
2019,71508,Petrol,Automatic,1140000.0,Honda City ZX
2010,93275,Petrol,Manual,350000.0,Honda City 1.5
2012,57950,Petrol,Automatic,400000.0,Honda City V
2017,53000,Petrol,Manual,520000.0,Honda Amaze SX
2011,87487,Petrol,Manual,270000.0,Honda City 1.5
2017,19848,Petrol,Manual,700000.0,Honda WR-V i-VTEC
2016,56660,Petrol,Manual,745000.0,Honda City i
